sale_id,store_id,product_group,items_sold,sale_amount,payment_type
5001,101,Grocery,4,126.34,Cash
5002,101,Grocery,3,208.0,Mobile
5003,101,Outdoor,2,140.03,Cash
5004,101,Apparel,4,89.48,Mobile
5005,101,Grocery,4,85.21,Card
5006,101,Home,6,160.28,Card
5007,101,Apparel,2,109.52,Mobile
5008,101,Outdoor,5,355.83,Mobile
5009,101,Electronics,1,55.45,Card
5010,101,Apparel,2,100.13,Mobile
5011,101,Outdoor,2,92.26,Card
5012,101,Home,6,424.65,Cash
5013,101,Home,6,296.28,Cash
5014,102,Outdoor,4,226.14,Mobile
5015,102,Grocery,1,46.15,Mobile
5016,102,Grocery,6,445.46,Cash
5017,102,Electronics,3,182.61,Card
5018,102,Apparel,6,79.68,Card
5019,102,Grocery,5,148.64,Card
5020,102,Home,3,237.4,Mobile
5021,102,Electronics,6,455.93,Mobile
5022,102,Grocery,2,81.52,Card
5023,102,Electronics,5,170.58,Card
5024,103,Grocery,4,165.75,Card
5025,103,Apparel,6,148.5,Cash
5026,103,Outdoor,4,248.92,Card
5027,103,Grocery,5,379.93,Card
5028,103,Grocery,5,345.62,Mobile
5029,103,Home,6,119.04,Cash
5030,103,Outdoor,5,133.61,Cash
5031,201,Grocery,3,159.64,Cash
5032,201,Electronics,2,83.51,Card
5033,201,Home,6,481.83,Mobile
5034,201,Grocery,2,70.64,Cash
5035,201,Apparel,5,119.53,Cash
5036,201,Home,2,74.81,Cash
5037,201,Apparel,4,255.2,Mobile
5038,201,Grocery,3,179.26,Card
5039,201,Electronics,5,293.04,Cash
5040,201,Grocery,2,105.68,Card
5041,201,Grocery,3,150.27,Card
5042,201,Home,6,414.94,Mobile
5043,202,Apparel,6,247.44,Cash
5044,202,Outdoor,1,32.66,Cash
5045,202,Grocery,3,199.52,Mobile
5046,202,Home,4,126.74,Card
5047,202,Outdoor,6,152.91,Mobile
5048,202,Electronics,5,239.26,Mobile
5049,202,Outdoor,5,423.49,Card
5050,202,Grocery,3,211.91,Card
5051,203,Electronics,2,69.18,Card
5052,203,Electronics,3,86.74,Card
5053,203,Outdoor,6,370.82,Card
5054,203,Outdoor,6,349.03,Mobile
5055,203,Grocery,2,110.3,Cash
5056,203,Grocery,6,90.89,Mobile
5057,203,Apparel,1,50.27,Card
5058,203,Grocery,2,55.49,Mobile
5059,301,Home,4,284.88,Cash
5060,301,Outdoor,5,402.86,Card
5061,301,Apparel,2,26.58,Mobile
5062,301,Home,2,118.13,Cash
5063,301,Home,5,190.51,Mobile
5064,301,Outdoor,4,100.91,Mobile
5065,301,Apparel,1,32.02,Cash
5066,301,Electronics,4,51.79,Cash
5067,301,Outdoor,2,117.06,Card
5068,301,Home,5,325.41,Mobile
5069,301,Home,2,106.36,Mobile
5070,301,Home,6,430.95,Cash
5071,301,Grocery,6,96.64,Card
5072,302,Home,4,56.04,Cash
5073,302,Home,2,156.91,Card
5074,302,Grocery,4,196.02,Mobile
5075,302,Apparel,1,77.14,Cash
5076,302,Outdoor,2,25.99,Cash
5077,302,Home,6,89.48,Cash
5078,302,Apparel,3,189.82,Mobile
5079,302,Apparel,4,119.4,Card
5080,302,Outdoor,4,153.83,Card
5081,302,Home,1,28.16,Card
5082,302,Home,2,70.73,Cash
5083,401,Home,2,36.48,Card
5084,401,Home,6,384.08,Cash
5085,401,Electronics,3,107.56,Cash
5086,401,Grocery,3,175.97,Cash
5087,401,Outdoor,2,107.5,Mobile
5088,401,Grocery,6,430.23,Cash
5089,401,Outdoor,1,63.81,Card
5090,401,Grocery,4,233.86,Mobile
5091,401,Electronics,6,99.55,Card
5092,401,Apparel,6,359.4,Card
5093,402,Apparel,3,44.23,Card
5094,402,Outdoor,6,371.87,Cash
5095,402,Apparel,1,83.3,Card
5096,402,Grocery,6,198.94,Mobile
5097,402,Apparel,4,184.65,Mobile
5098,402,Electronics,5,421.59,Card
5099,402,Apparel,6,266.23,Cash
5100,402,Outdoor,1,13.92,Card
5101,403,Apparel,4,324.6,Mobile
5102,403,Outdoor,3,61.17,Cash
5103,403,Grocery,1,45.86,Cash
5104,403,Grocery,2,40.23,Mobile
5105,403,Grocery,3,52.38,Mobile
5106,403,Outdoor,5,206.34,Mobile
5107,403,Grocery,2,56.38,Mobile
5108,404,Home,3,57.77,Mobile
5109,404,Electronics,4,307.34,Cash
5110,404,Electronics,4,117.21,Cash
5111,404,Home,2,50.09,Card
5112,404,Grocery,6,179.25,Cash
5113,404,Apparel,3,175.42,Card
5114,404,Apparel,2,90.64,Card
5115,501,Apparel,1,17.17,Card
5116,501,Grocery,6,124.39,Card
5117,501,Grocery,4,206.36,Card
5118,501,Home,3,186.78,Card
5119,501,Electronics,2,37.68,Cash
5120,501,Home,6,216.09,Card
5121,501,Outdoor,5,416.26,Card
5122,501,Home,3,245.39,Card
5123,501,Home,1,19.03,Cash
5124,501,Apparel,3,196.79,Card
